age,km,hp_kw,gears,weight_kg,displacement_cc,previous_owners,inspection_new,body_type_Compact,body_type_Coupe,body_type_Sedans,body_type_Station wagon,body_type_Transporter,body_type_Van,upholstery_type_Cloth,upholstery_type_Part/Full Leather,gearing_type_Automatic,gearing_type_Manual,gearing_type_Semi-automatic,fuel_Benzine,fuel_Diesel,fuel_Electric,fuel_LPG/CNG,make_Audi,make_Opel,make_Renault,model_A1,model_A3,model_Astra,model_Clio,model_Corsa,model_Espace,model_Insignia
3.0,72624.0,92.0,7.0,1180.0,1395.0,2.0,1,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,13960.0,66.0,7.0,1195.0,1422.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,40301.0,92.0,7.0,1135.0,1395.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,19990.0,71.0,7.0,1135.0,999.0,2.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,3087.0,70.0,7.0,1180.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,37626.0,66.0,7.0,1195.0,1422.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,22980.0,70.0,7.0,1135.0,999.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,57926.0,66.0,7.0,1180.0,1422.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,3900.0,92.0,7.0,1215.0,1395.0,2.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,7924.0,92.0,7.0,1135.0,1395.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
